Date,Portfolio_Value,Action
2020-11-25,219369.48852539062,HOLD
2020-11-26,219909.27905273438,HOLD
2020-11-27,217345.37622070312,HOLD
2020-12-01,220167.90502929688,HOLD
2020-12-02,220533.38110351562,HOLD
2020-12-03,221196.82348632812,HOLD
2020-12-04,219251.40698242188,HOLD
2020-12-07,220538.98168945312,HOLD
2020-12-08,224536.61938476562,HOLD
2020-12-09,228270.00024414062,HOLD
2020-12-10,226026.58715820315,HOLD
2020-12-11,225891.65844726562,HOLD
2020-12-14,224261.11596679688,HOLD
2020-12-15,222355.08520507812,HOLD
2020-12-16,222602.46459960938,HOLD
2020-12-17,223620.16674804688,HOLD
2020-12-18,224289.20971679688,HOLD
2020-12-21,218458.65161132812,HOLD
2020-12-22,218121.29956054688,HOLD
2020-12-23,218925.31665039062,HOLD
2020-12-24,224581.60571289062,HOLD
2020-12-28,225610.53930664062,HOLD
2020-12-29,224120.57153320315,HOLD
2020-12-30,224733.39672851562,HOLD
2020-12-31,223586.41186523438,HOLD
2021-01-01,223833.80639648438,HOLD
2021-01-04,224210.51391601562,HOLD
2021-01-05,221427.35571289062,HOLD
2021-01-06,215596.76733398438,HOLD
2021-01-07,215248.16870117188,HOLD
2021-01-08,217783.94750976562,HOLD
2021-01-11,213685.09057617188,HOLD
2021-01-12,220409.69897460938,HOLD
2021-01-13,218357.44750976562,HOLD
2021-01-14,220808.86938476562,HOLD
2021-01-15,218205.62622070312,HOLD
2021-01-18,223434.60571289062,HOLD
2021-01-19,227083.64477539062,HOLD
2021-01-20,231390.4953613281,HOLD
2021-01-21,236417.05151367188,HOLD
2021-01-22,230817.01049804688,HOLD
2021-01-25,218604.82690429688,HOLD
2021-01-27,213432.09545898438,HOLD
2021-01-28,211357.36596679688,HOLD
2021-01-29,207466.56323242188,HOLD
2021-02-01,213465.83520507812,HOLD
2021-02-02,216895.57348632812,HOLD
2021-02-03,217440.97973632812,HOLD
2021-02-04,216726.90502929688,HOLD
2021-02-05,216665.05639648438,HOLD
2021-02-08,219779.95092773438,HOLD
2021-02-09,220308.47973632812,HOLD
2021-02-10,222349.45434570312,HOLD
2021-02-11,231502.96118164062,HOLD
2021-02-12,229917.37475585938,HOLD
2021-02-15,228905.33374023438,HOLD
2021-02-16,231930.27075195315,HOLD
2021-02-17,234600.99340820315,HOLD
2021-02-18,232852.36938476562,HOLD
2021-02-19,234269.2570800781,HOLD
2021-02-22,226150.2844238281,HOLD
2021-02-23,227876.41528320315,HOLD
2021-02-24,232098.95434570315,HOLD
2021-02-25,241471.71655273438,HOLD
2021-02-26,234887.74340820315,HOLD
2021-03-01,236675.70776367188,HOLD
2021-03-02,237159.21997070315,HOLD
2021-03-03,247965.76245117188,HOLD
2021-03-04,245013.93579101562,HOLD
2021-03-05,245334.42553710938,HOLD
2021-03-08,246728.82006835938,HOLD
2021-03-09,246723.18920898438,HOLD
2021-03-10,245699.88647460938,HOLD
2021-03-12,240712.70092773438,HOLD
2021-03-15,237485.34057617188,HOLD
2021-03-16,236552.02563476562,HOLD
2021-03-17,231463.62084960938,HOLD
2021-03-18,226262.73510742188,HOLD
2021-03-19,234460.40356445315,HOLD
2021-03-22,232256.37622070315,HOLD
2021-03-23,235078.90502929688,HOLD
2021-03-24,230558.38452148438,HOLD
2021-03-25,224277.97827148438,HOLD
2021-03-26,224637.8234863281,HOLD
2021-03-30,228534.24194335938,HOLD
2021-03-31,225588.01586914062,HOLD
2021-04-01,227696.48510742188,HOLD
2021-04-05,224407.30639648438,HOLD
2021-04-06,223473.97631835938,HOLD
2021-04-07,225559.92211914062,HOLD
2021-04-08,225841.05639648438,HOLD
2021-04-09,223220.93579101562,HOLD
2021-04-12,215248.16870117188,HOLD
2021-04-13,217570.29272460938,HOLD
2021-04-15,218975.91870117188,HOLD
2021-04-16,217604.01733398438,HOLD
2021-04-19,214185.49536132812,HOLD
2021-04-20,214123.66186523438,HOLD
2021-04-22,214714.02416992188,HOLD
2021-04-23,214483.50708007812,HOLD
2021-04-26,218250.62768554688,HOLD
2021-04-27,223963.11938476562,HOLD
2021-04-28,224935.80493164062,HOLD
2021-04-29,227943.89477539062,HOLD
2021-04-30,224620.96118164062,HOLD
2021-05-03,220634.57006835938,HOLD
2021-05-04,215861.02416992188,HOLD
2021-05-05,216254.60913085938,HOLD
2021-05-06,217480.32006835938,HOLD
2021-05-07,217564.66186523438,HOLD
2021-05-10,216940.57495117188,HOLD
2021-05-11,217722.08374023438,HOLD
2021-05-12,215473.05493164062,HOLD
2021-05-14,218188.77905273438,HOLD
2021-05-17,220780.77563476562,HOLD
2021-05-18,223884.40844726562,HOLD
2021-05-19,224907.71118164062,HOLD
2021-05-20,223597.67358398438,HOLD
2021-05-21,225526.18237304688,HOLD
2021-05-24,223625.75219726562,HOLD
2021-05-25,221095.63452148438,HOLD
2021-05-26,221871.51245117188,HOLD
2021-05-27,222551.89282226562,HOLD
2021-05-28,235899.79956054688,HOLD
2021-05-31,243265.32690429688,HOLD
2021-06-01,244232.42700195315,HOLD
2021-06-02,247870.18920898438,HOLD
2021-06-03,248814.76586914062,HOLD
2021-06-04,246661.34057617188,HOLD
2021-06-07,250810.76928710938,HOLD
2021-06-08,249371.41870117188,HOLD
2021-06-09,244918.34741210938,HOLD
2021-06-10,245817.98315429688,HOLD
2021-06-11,250075.97241210938,HOLD
2021-06-14,253658.72778320315,HOLD
2021-06-15,254234.25610351562,HOLD
2021-06-16,249901.05249023438,HOLD
2021-06-17,250358.09057617188,HOLD
2021-06-18,251486.50268554688,HOLD
2021-06-21,252795.49584960938,HOLD
2021-06-22,251497.80981445315,HOLD
2021-06-23,249195.78735351562,HOLD
2021-06-24,243344.88549804688,HOLD
2021-06-25,237809.94750976562,HOLD
2021-06-28,235727.99780273438,HOLD
2021-06-29,235931.10229492188,HOLD
2021-06-30,238509.56665039062,HOLD
2021-07-01,237076.48266601562,HOLD
2021-07-02,240585.8703613281,HOLD
2021-07-05,242972.52221679688,HOLD
2021-07-06,240106.30883789062,HOLD
2021-07-07,238441.87524414062,HOLD
2021-07-08,236472.75463867188,HOLD
2021-07-09,234057.91821289062,HOLD
2021-07-12,235513.60131835938,HOLD
2021-07-13,237273.94116210938,HOLD
2021-07-14,235727.99780273438,HOLD
2021-07-15,235316.12768554688,HOLD
2021-07-16,238707.05541992188,HOLD
2021-07-19,237189.3117675781,HOLD
2021-07-20,236608.15258789062,HOLD
2021-07-22,239643.6398925781,HOLD
2021-07-23,237951.00659179688,HOLD
2021-07-26,234695.49194335938,HOLD
2021-07-27,232229.85668945315,HOLD
2021-07-28,230238.19750976562,HOLD
2021-07-29,232032.38305664062,HOLD
2021-07-30,230006.8781738281,HOLD
2021-08-02,234204.62329101562,HOLD
2021-08-03,235925.4562988281,HOLD
2021-08-04,237730.9641113281,HOLD
2021-08-05,241172.67553710938,HOLD
2021-08-06,236072.17651367188,HOLD
2021-08-09,234729.33764648438,HOLD
2021-08-10,235959.30200195315,HOLD
2021-08-11,239259.96948242188,HOLD
2021-08-12,238492.65893554688,HOLD
2021-08-13,242459.08471679688,HOLD
2021-08-16,245601.75512695315,HOLD
2021-08-17,244557.97241210938,HOLD
2021-08-18,245505.84887695315,HOLD
2021-08-20,242752.49487304688,HOLD
2021-08-23,244343.56079101562,HOLD
2021-08-24,246752.76635742188,HOLD
2021-08-25,248885.48461914062,HOLD
2021-08-26,252028.15502929688,HOLD
2021-08-27,251683.97631835938,HOLD
2021-08-30,256519.29516601562,HOLD
2021-08-31,255153.93286132812,HOLD
2021-09-01,256163.85473632812,HOLD
2021-09-02,259244.47973632812,HOLD
2021-09-03,269862.9787597656,HOLD
2021-09-06,274049.4924316406,HOLD
2021-09-07,275775.9562988281,HOLD
2021-09-08,274698.2824707031,HOLD
2021-09-09,274049.4924316406,HOLD
2021-09-13,267950.3029785156,HOLD
2021-09-14,267600.4934082031,HOLD
2021-09-15,268711.9826660156,HOLD
2021-09-16,274342.8420410156,HOLD
2021-09-17,270094.3283691406,HOLD
2021-09-20,270523.1516113281,HOLD
2021-09-21,271691.0705566406,HOLD
2021-09-22,274602.4367675781,HOLD
2021-09-23,281305.2785644531,HOLD
2021-09-24,280492.8000488281,HOLD
2021-09-27,285204.0129394531,HOLD
2021-09-28,287867.1066894531,HOLD
2021-09-29,285587.6984863281,HOLD
2021-09-30,284617.1926269531,HOLD
2021-10-01,285119.3684082031,HOLD
2021-10-04,288781.1223144531,HOLD
2021-10-05,294767.4523925781,HOLD
2021-10-06,289198.6535644531,HOLD
2021-10-07,290614.8146972656,HOLD
2021-10-08,301769.3654785156,HOLD
2021-10-11,299670.4777832031,HOLD
2021-10-12,301380.0187988281,HOLD
2021-10-13,304443.7209472656,HOLD
2021-10-14,305058.7561035156,HOLD
2021-10-18,305871.2043457031,HOLD
2021-10-19,308607.6203613281,HOLD
2021-10-20,305058.7561035156,HOLD
2021-10-21,296268.2883300781,HOLD
2021-10-22,296821.2023925781,HOLD
2021-10-25,293932.3898925781,HOLD
2021-10-26,300618.3693847656,HOLD
2021-10-27,296821.2023925781,HOLD
2021-10-28,293571.2580566406,HOLD
2021-10-29,286535.5900878906,HOLD
2021-11-01,286710.4797363281,HOLD
2021-11-02,282535.2277832031,HOLD
2021-11-03,280594.3674316406,HOLD
2021-11-04,282315.2004394531,HOLD
2021-11-08,282665.0100097656,HOLD
2021-11-09,284893.6799316406,HOLD
2021-11-10,288075.8420410156,HOLD
2021-11-11,288600.6018066406,HOLD
2021-11-12,292950.6525878906,HOLD
2021-11-15,291224.1584472656,HOLD
2021-11-16,284464.8869628906,HOLD
2021-11-17,278382.6506347656,HOLD
2021-11-18,279432.0793457031,HOLD
2021-11-22,267070.1633300781,HOLD
2021-11-23,269563.9680175781,HOLD
2021-11-24,265676.4953613281,HOLD
2021-11-25,281649.4270019531,HOLD
2021-11-26,272582.5021972656,HOLD
2021-11-29,275843.6477050781,HOLD
2021-11-30,271770.0236816406,HOLD
2021-12-01,278721.1984863281,HOLD
2021-12-02,280509.7531738281,HOLD
2021-12-03,272091.6184082031,HOLD
2021-12-06,266940.3508300781,HOLD
2021-12-07,269112.5910644531,HOLD
2021-12-08,273203.1682128906,HOLD
2021-12-09,277530.6955566406,HOLD
2021-12-10,277812.7834472656,HOLD
2021-12-13,272249.6154785156,HOLD
2021-12-14,268920.7482910156,HOLD
2021-12-15,268136.5148925781,HOLD
2021-12-16,271600.7648925781,HOLD
2021-12-17,264440.8850097656,HOLD
2021-12-20,257320.48168945312,HOLD
2021-12-21,261145.86352539062,HOLD
2021-12-22,267335.3283691406,HOLD
2021-12-23,267239.3615722656,HOLD
2021-12-24,268091.3771972656,HOLD
2021-12-27,267803.5979003906,HOLD
2021-12-28,270980.1291503906,HOLD
2021-12-29,271442.8283691406,HOLD
2021-12-30,266545.4338378906,HOLD
2021-12-31,267566.6477050781,HOLD
2022-01-03,271595.1340332031,HOLD
2022-01-04,277716.8771972656,HOLD
2022-01-05,279014.5783691406,HOLD
2022-01-06,273022.5871582031,HOLD
2022-01-07,275223.0422363281,HOLD
2022-01-10,275448.7307128906,HOLD
2022-01-11,277429.1584472656,HOLD
2022-01-12,284825.9582519531,HOLD
2022-01-13,286428.3615722656,HOLD
2022-01-14,286845.8322753906,HOLD
2022-01-17,288341.0070800781,HOLD
2022-01-18,284904.9719238281,HOLD
2022-01-19,284882.4182128906,HOLD
2022-01-20,279900.4094238281,HOLD
2022-01-21,279945.5168457031,HOLD
2022-01-24,268666.8752441406,HOLD
2022-01-25,268142.1457519531,HOLD
2022-01-27,264175.6896972656,HOLD
2022-01-28,263921.8166503906,HOLD
2022-01-31,269648.5822753906,HOLD
2022-02-01,268757.1203613281,HOLD
2022-02-02,269304.4035644531,HOLD
2022-02-03,265828.8615722656,HOLD
2022-02-04,263408.3791503906,HOLD
2022-02-07,261806.00610351562,HOLD
2022-02-08,266201.2248535156,HOLD
2022-02-09,269298.8029785156,HOLD
2022-02-10,269022.3156738281,HOLD
2022-02-11,268497.6164550781,HOLD
2022-02-14,264226.5187988281,HOLD
2022-02-15,273186.2453613281,HOLD
2022-02-16,272622.0090332031,HOLD
2022-02-17,276069.3664550781,HOLD
2022-02-18,273914.0793457031,HOLD
