Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2023-03-21,127159.95,0,340.32,127159.95,0.0,HOLD
2023-03-22,127159.95,0,339.98,127159.95,0.0,HOLD
2023-03-23,127159.95,0,334.91,127159.95,0.0,HOLD
2023-03-24,127159.95,0,337.39,127159.95,0.0,HOLD
2023-03-27,127159.95,0,339.99,127159.95,0.0,HOLD
2023-03-28,127159.95,0,338.74,127159.95,0.0,HOLD
2023-03-29,127159.95,0,343.15,127159.95,0.0,HOLD
2023-03-31,127159.95,0,345.51,127159.95,0.0,HOLD
2023-04-03,127159.95,0,348.07,127159.95,0.0,HOLD
2023-04-05,127159.95,0,349.31,127159.95,0.0,HOLD
2023-04-06,127159.95,0,350.34,127159.95,0.0,HOLD
2023-04-10,127159.95,0,350.78,127159.95,0.0,HOLD
2023-04-11,127159.95,0,368.17,127159.95,0.0,HOLD
2023-04-12,6380.2,328,367.68,126978.99,1.0,BUY
2023-04-13,6380.2,328,372.75,128643.38,1.0,HOLD
2023-04-17,6380.2,328,377.87,130320.86,1.0,HOLD
2023-04-18,6380.2,328,376.5,129872.88,1.0,HOLD
2023-04-19,6380.2,328,375.82,129650.53,0.0,HOLD
2023-04-20,6380.2,328,375.64,129591.67,0.0,HOLD
2023-04-21,6380.2,328,377.57,130222.77,0.0,HOLD
2023-04-24,6380.2,328,378.29,130458.2,0.0,HOLD
2023-04-25,6380.2,328,376.7,129938.27,0.0,HOLD
2023-04-26,6380.2,328,374.57,129238.51,0.0,HOLD
2023-04-27,6380.2,328,380.55,131200.48,0.0,HOLD
2023-04-28,6380.2,328,386.42,133126.46,0.0,HOLD
2023-05-02,6380.2,328,383.05,132021.24,0.0,HOLD
2023-05-03,6380.2,328,385.01,132662.14,0.0,HOLD
2023-05-04,6380.2,328,388.33,133751.03,0.0,HOLD
2023-05-05,6380.2,328,384.56,132515.0,0.0,HOLD
2023-05-08,6380.2,328,390.57,134486.76,0.0,HOLD
2023-05-09,6380.2,328,389.66,134189.2,0.0,HOLD
2023-05-10,6380.2,328,390.54,134476.95,0.0,HOLD
2023-05-11,6380.2,328,390.39,134427.91,0.0,HOLD
2023-05-12,6380.2,328,390.92,134601.22,0.0,HOLD
2023-05-15,6380.2,328,393.39,135412.17,0.0,HOLD
2023-05-16,6380.2,328,388.22,133715.06,0.0,HOLD
2023-05-17,6380.2,328,380.66,131236.44,0.0,HOLD
2023-05-18,6380.2,328,384.3,132429.97,0.0,HOLD
2023-05-19,6380.2,328,387.14,133361.91,0.0,HOLD
2023-05-22,6380.2,328,386.85,133267.08,0.0,HOLD
2023-05-23,6380.2,328,383.12,132044.12,0.0,HOLD
2023-05-24,6380.2,328,380.9,131314.93,0.0,HOLD
2023-05-25,6380.2,328,384.81,132596.74,0.0,HOLD
2023-05-26,6380.2,328,387.82,133584.26,0.0,HOLD
2023-05-29,6380.2,328,389.44,134117.27,0.0,HOLD
2023-05-30,6380.2,328,393.73,135523.35,0.0,HOLD
2023-05-31,6380.2,328,401.63,138116.4,0.0,HOLD
2023-06-01,6380.2,328,384.83,132603.28,1.0,HOLD
2023-06-02,6380.2,328,386.56,133172.25,0.0,HOLD
2023-06-05,6380.2,328,383.8,132266.49,0.0,HOLD
2023-06-06,6380.2,328,390.61,134499.85,0.0,HOLD
2023-06-07,6380.2,328,386.69,133214.77,0.0,HOLD
2023-06-08,6380.2,328,376.14,129755.16,0.0,HOLD
2023-06-09,6380.2,328,373.25,128806.87,0.0,HOLD
2023-06-12,129109.8,0,374.74,129109.8,-1.0,SELL
2023-06-13,129109.8,0,370.05,129109.8,0.0,HOLD
2023-06-14,129109.8,0,371.79,129109.8,0.0,HOLD
2023-06-15,129109.8,0,365.58,129109.8,0.0,HOLD
2023-06-16,129109.8,0,370.34,129109.8,0.0,HOLD
2023-06-19,129109.8,0,363.79,129109.8,0.0,HOLD
2023-06-20,129109.8,0,367.67,129109.8,0.0,HOLD
2023-06-21,129109.8,0,367.98,129109.8,0.0,HOLD
2023-06-22,129109.8,0,366.09,129109.8,0.0,HOLD
2023-06-23,129109.8,0,364.59,129109.8,0.0,HOLD
2023-06-26,129109.8,0,363.47,129109.8,0.0,HOLD
2023-06-27,129109.8,0,367.81,129109.8,0.0,HOLD
2023-06-28,129109.8,0,366.98,129109.8,0.0,HOLD
2023-06-30,129109.8,0,368.18,129109.8,0.0,HOLD
2023-07-03,129109.8,0,367.66,129109.8,0.0,HOLD
2023-07-04,129109.8,0,371.2,129109.8,0.0,HOLD
2023-07-05,129109.8,0,371.83,129109.8,0.0,HOLD
2023-07-06,129109.8,0,374.31,129109.8,0.0,HOLD
2023-07-07,129109.8,0,369.56,129109.8,0.0,HOLD
2023-07-10,129109.8,0,372.24,129109.8,0.0,HOLD
2023-07-11,129109.8,0,372.18,129109.8,0.0,HOLD
2023-07-12,129109.8,0,374.47,129109.8,0.0,HOLD
2023-07-13,129109.8,0,372.79,129109.8,0.0,HOLD
2023-07-14,129109.8,0,372.65,129109.8,0.0,HOLD
2023-07-17,129109.8,0,378.25,129109.8,0.0,HOLD
2023-07-18,6397.52,325,377.01,128925.94,1.0,BUY
2023-07-19,6397.52,325,380.15,129946.55,0.0,HOLD
2023-07-20,6397.52,325,390.18,133206.02,1.0,HOLD
2023-07-21,6397.52,325,392.83,134067.88,1.0,HOLD
2023-07-24,6397.52,325,378.29,129340.66,1.0,HOLD
2023-07-25,6397.52,325,373.95,127931.24,0.0,HOLD
2023-07-26,6397.52,325,377.9,129214.29,0.0,HOLD
2023-07-27,6397.52,325,373.6,127817.85,0.0,HOLD
2023-07-28,6397.52,325,374.22,128018.72,0.0,HOLD
2023-07-31,6397.52,325,370.17,126703.26,0.0,HOLD
2023-08-01,6397.52,325,368.87,126278.83,0.0,HOLD
2023-08-02,6397.52,325,363.62,124574.56,0.0,HOLD
